Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Novant Health UVA Health System Prince William Medical Center,Manassas,126,"5,220","22,302","$516,707"
Parham Doctor's Hospital - A Campus of Henrico Doctor's Hospital,Richmond,0,0,0,$0
Reston Hospital Center,Reston,203,"13,482","56,110","$1,323,668"
Retreat Doctor's Hospital - A Campus of Henrico Doctor's Hospital,Richmond,116,"3,307","25,620","$264,015"
Richmond Community Hospital,Richmond,101,"1,686","10,264","$674,970"
Riverside Doctors Hospital Williamsburg,Williamsburg,40,"1,583","4,932","$124,259"
Riverside Regional Medical Center,Newport News,357,"19,462","88,888","$1,972,053"
Riverside Shore Memorial Hospital,Onancock,46,"2,622","8,840","$235,709"
Riverside Tappahannock Hospital,Tappahannock,67,"1,514","5,455","$162,491"
Riverside Walter Reed Hospital,Gloucester,67,"2,701","10,339","$252,674"
Russell County Hospital,Lebanon,69,934,"2,717","$111,492"
Saint Francis Medical Center,Midlothian,130,"9,304","37,751","$970,224"
Saint Mary's Hospital,Richmond,410,"18,747","93,570","$2,176,360"
Salem VA Medical Center,Salem,0,0,0,$0
Sentara CarePlex Hospital,Hampton,172,"8,431","41,516","$950,769"
Sentara Halifax Regional Hospital,South Boston,107,"3,644","15,298","$294,577"
Sentara Heart Hospital,Norfolk,0,0,0,$0
Sentara Leigh Hospital,Norfolk,247,"17,404","78,287","$1,353,245"
Sentara Martha Jefferson Hospital,Charlottesville,150,"9,789","37,335","$826,166"
Sentara Norfolk General Hospital,Norfolk,527,"24,099","156,557","$3,335,129"
Sentara Northern Virginia Medical Center,Woodbridge,147,"10,021","44,854","$861,341"
Sentara Obici Hospital,Suffolk,175,"9,784","41,034","$887,805"
Sentara Princess Anne Hospital,Virginia Beach,174,"11,788","56,252","$1,001,553"
Sentara RMH Medical Center,Harrisonburg,238,"13,763","54,548","$1,096,575"
Sentara Virginia Beach General Hospital,Virginia Beach,259,"12,624","65,239","$1,334,151"
Sentara Williamsburg Regional Medical Center,Williamsburg,145,"7,643","33,296","$676,596"
Smyth County Community Hospital,Marion,153,"1,205","3,720","$234,614"
Southampton Memorial Hospital,Franklin,204,"1,167","3,969","$213,454"
Southern Virginia Regional Medical Center,Emporia,80,745,"2,895","$208,996"
Southside Regional Medical Center,Petersburg,300,"11,419","54,898","$1,980,924"
SOVAH Health Danville,Danville,342,"13,441","55,320","$1,636,482"
SOVAH Health Martinsville,Martinsville,220,"4,929","20,765","$545,516"
Spotsylvania Regional Medical Center,Fredericksburg,133,"6,000","21,540","$533,930"
Stafford Hospital,Stafford,90,"4,817","17,027","$294,511"
StoneSprings Hospital Center,Dulles,124,"1,662","5,605","$197,145"
Twin County Regional Hospital,Galax,141,"2,228","9,763","$244,417"
University Hospital,Charlottesville,612,"28,190","164,753","$5,630,718"
VCU Medical Center,Richmond,781,"36,711","203,311","$6,179,132"
Virginia Hospital Center,Arlington,365,"22,172","96,765","$1,356,730"
Warren Memorial Hospital,Front Royal,166,"2,006","6,271","$160,339"
Winchester Medical Center,Winchester,455,"20,410","107,575","$1,490,812"
Wythe County Community Hospital,Wytheville,100,"1,958","6,313","$241,639"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Alaska Native Medical Center,Anchorage,174,"8,376","38,396",$0
Alaska Regional Hospital,Anchorage,174,"6,388","34,726","$1,135,761"
Bartlett Regional Hospital,Juneau,57,"1,647","6,733","$175,008"
Central Peninsula General Hospital,Soldotna,109,"2,525","9,823","$377,680"
Foundation Health Partners Fairbanks Memorial Hospital,Fairbanks,212,"4,467","20,829","$501,562"
JBER Elmendorf Air Force Base Hospital,Elmendorf Air Force Base,0,0,0,$0
Mat-Su Regional Medical Center,Palmer,74,"4,324","17,811","$744,062"
Providence Alaska Medical Center,Anchorage,401,"15,660","109,991","$2,440,247"
The Children's Hospital at Providence,Anchorage,0,0,0,$0
Yukon-Kuskokwim Delta Regional Hospital,Bethel,34,"1,822","4,963",$0
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Floyd Cherokee Medical Center,Centre,45,604,"2,457","$77,393"
RMC Stringfellow Memorial Hospital,Anniston,125,"2,574","10,142","$462,112"
Andalusia Health,Andalusia,83,"2,882","10,810","$274,420"
Athens-Limestone Hospital,Athens,66,"4,144","13,306","$287,915"
Atmore Community Hospital,Atmore,49,"1,325","4,364","$76,757"
Baptist Medical Center East,Montgomery,207,"14,510","53,341","$546,969"
Baptist Medical Center South,Montgomery,380,"17,309","84,119","$1,515,367"
Bibb Medical Center,Centreville,156,315,"1,204","$30,116"
Birmingham VA Medical Center,Birmingham,0,0,0,$0
Brookwood Baptist Medical Center,Birmingham,595,"15,775","76,452","$3,338,482"
Bryan W. Whitfield Memorial Hospital,Demopolis,57,"1,249","4,831","$63,942"
Bullock County Hospital,Union Springs,54,473,"2,331","$44,064"
Central Alabama Veterans Health Care System - East Campus,Tuskegee,0,0,0,$0
Central Alabama Veterans Health Care System - West Campus,Montgomery,0,0,0,$0
Citizens Baptist Medical Center,Talladega,98,"1,916","6,564","$252,096"
Clay County Hospital,Ashland,129,"1,027","4,285","$34,610"
Community Hospital,Tallassee,47,874,"3,458","$43,541"
Coosa Valley Medical Center,Sylacauga,222,"3,254","14,065","$325,969"
Crenshaw Community Hospital,Luverne,49,314,"1,323","$37,017"
Crestwood Medical Center,Huntsville,183,"10,985","40,916","$2,671,118"
Cullman Regional Medical Center,Cullman,145,"7,771","26,895","$535,354"
D.W. McMillan Memorial Hospital,Brewton,46,"1,514","6,058","$76,398"
Dale Medical Center,Ozark,89,"1,290","7,841","$86,141"
DCH Regional Medical Center,Tuscaloosa,593,"31,725","143,290","$1,910,554"
Decatur Morgan Hospital,Decatur,264,"8,787","41,331","$465,539"
Decatur Morgan Hospital-Parkway Campus,Decatur,120,"1,560","5,928","$186,633"
DeKalb Regional Medical Center,Fort Payne,115,"3,207","11,591","$456,842"
East Alabama Medical Center,Opelika,515,"17,172","76,479","$782,508"
East Alabama Medical Center - Lanier,Valley,187,"2,532","11,600","$77,366"
Elmore Community Hospital,Wetumpka,33,789,"3,590","$42,042"
Evergreen Medical Center,Evergreen,44,"1,543","4,719","$35,605"
Fayette Medical Center,Fayette,167,840,"2,518","$78,605"
Flowers Hospital,Dothan,235,"12,205","55,520","$2,051,017"
Gadsden Regional Medical Center,Gadsden,271,"12,897","60,383","$2,549,046"
Grandview Medical Center,Birmingham,402,"21,858","105,337","$4,853,473"
Greene County Health System,Eutaw,92,139,493,"$10,942"
Grove Hill Memorial Hospital,Grove Hill,30,840,"2,895","$49,251"
Hale County Hospital,Greensboro,28,459,"1,483","$17,746"
Helen Keller Hospital,Sheffield,178,"7,325","27,993","$461,563"
Highlands Medical Center,Scottsboro,218,"2,884","10,051","$120,718"
Hill Hospital Of Sumter County,York,33,435,"5,460","$10,012"
Huntsville Hospital,Huntsville,912,"49,884","239,808","$5,113,560"
Jack Hughston Memorial Hospital,Phenix City,47,"2,926","6,679","$181,864"
Jackson Hospital,Montgomery,270,"15,439","74,145","$1,166,903"
Jackson Medical Center,Jackson,35,746,"2,653","$33,280"
John Paul Jones Hospital,Camden,21,172,491,"$8,402"
Lake Martin Community Hospital,Dadeville,46,574,"1,595","$20,456"
Lakeland Community Hospital,Haleyville,58,"1,258","4,583","$52,605"
Lawrence Medical Center,Moulton,43,625,"1,599","$32,958"
Madison Hospital,Madison,0,0,0,$0
Marshall Medical Center North,Guntersville,90,"4,712","18,949","$170,481"
Marshall Medical Center South,Boaz,204,"9,069","38,089","$442,430"
Medical Center Barbour,Eufaula,47,"1,005","3,931","$63,367"
Medical Center Enterprise,Enterprise,99,"3,392","10,114","$616,502"
Medical West,Bessemer,231,"6,336","33,095","$603,658"
Mizell Memorial Hospital,Opp,59,"1,157","4,426","$51,704"
Mobile Infirmary Medical Center,Mobile,669,"24,926","146,711","$1,256,284"
Monroe County Hospital,Monroeville,49,"1,111","3,594","$82,979"
North Alabama Medical Center,Florence,233,"12,472","61,969","$890,905"
North Baldwin Infirmary,Bay Minette,70,"1,922","6,207","$90,949"
North Mississippi Medical Center - Hamilton,Hamilton,115,584,"1,722","$69,166"
Northport Medical Center,Northport,207,"5,073","26,754",$0
Northwest Medical Center,Winfield,71,914,"2,977","$109,596"
Prattville Baptist Hospital,Prattville,55,"2,887","12,509","$197,961"
Princeton Baptist Medical Center,Birmingham,309,"13,790","70,611","$2,038,892"
Providence Hospital,Mobile,349,"13,968","71,743","$836,356"
Regional Medical Center of Central Alabama,Greenville,57,853,"2,928","$133,383"
Riverview Regional Medical Center,Gadsden,281,"6,497","24,619","$868,860"
RMC Anniston,Anniston,270,"12,948","58,659","$1,341,383"
Russell Medical Center,Alexander City,34,"2,380","8,115","$217,951"
Russellville Hospital,Russellville,49,"1,699","5,958","$124,297"
Saint Vincent's Birmingham,Birmingham,400,"21,302","103,744","$2,295,347"
Saint Vincent's Chilton,Clanton,26,723,"2,335","$150,254"
Saint Vincent's East,Birmingham,349,"14,059","82,556","$1,195,134"
Saint Vincent's Saint Clair,Pell City,40,"1,850","8,561","$246,639"
Shelby Baptist Medical Center,Alabaster,252,"10,376","46,061","$1,260,234"
Shoals Hospital,Muscle Shoals,184,"1,194","5,448","$113,123"
South Baldwin Regional Medical Center,Foley,112,"6,727","26,065","$1,160,116"
Southeast Health Medical Center,Dothan,327,"19,963","95,560","$1,839,801"
Springhill Medical Center,Mobile,209,"11,527","59,522","$689,050"
Thomas Hospital,Fairhope,141,"10,337","38,655","$605,660"
Troy Regional Medical Center,Troy,115,"1,736","5,794","$149,673"
UAB Callahan Eye Hospital,Birmingham,12,130,293,"$205,396"
UAB Hospital,Birmingham,"1,205","44,804","317,372","$6,995,013"
UAB Hospital Highlands,Birmingham,73,"3,641","12,477","$288,780"
USA Health University Hospital,Mobile,149,"8,443","49,731","$474,193"
Vaughan Regional Medical Center,Selma,109,"5,216","17,242","$571,054"
Walker Baptist Medical Center,Jasper,259,"5,842","23,886","$797,564"
Wiregrass Medical Center,Geneva,185,956,"4,419","$46,651"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Northwest Health Physicians' Specialty Hospital,Fayetteville,20,"1,319","2,088","$172,182"
Unity Health - Harris Medical Center,Newport,121,"1,589","4,078","$57,855"
Arkansas Continued Care Hospital of Jonesboro,Jonesboro,44,73,"2,042","$14,613"
Arkansas Heart Hospital,Little Rock,112,"6,194","23,232","$660,178"
Arkansas Methodist Medical Center,Paragould,129,"3,693","12,305","$171,739"
Arkansas Surgical Hospital,North Little Rock,49,"3,497","6,925","$219,282"
Baptist Health - Little Rock,Little Rock,734,"28,081","155,026","$2,054,543"
Baptist Health - North Little Rock,North Little Rock,205,"10,202","41,757","$798,116"
Baptist Health - Stuttgart,Stuttgart,49,981,"3,326","$67,528"
Baptist Health Medical Center Conway,Conway,110,"3,029","9,890","$257,866"
Baptist Health Medical Center-Hot Spring County,Malvern,64,"2,248","9,215","$64,656"
Baptist Health-Fort Smith,Fort Smith,343,"12,427","58,267","$1,469,283"
Baptist Health-Van Buren,Van Buren,39,"1,005","2,877","$163,400"
Baptist Memorial Hospital-Crittenden,West Memphis,0,0,0,$0
Baxter Regional Medical Center,Mountain Home,212,"9,167","32,384","$669,694"
Chambers Memorial Hospital,Danville,42,"1,318","4,142","$48,089"
CHI St. Vincent Hot Springs,Hot Springs,229,"11,605","51,792","$952,631"
CHI St. Vincent Infirmary,Little Rock,393,"17,643","94,504","$1,769,767"
CHI St. Vincent North,Sherwood,59,"2,235","8,851","$237,414"
Conway Regional Medical Center,Conway,150,"7,607","31,383","$570,069"
Drew Memorial Hospital,Monticello,49,"2,249","7,095","$84,649"
Five Rivers Medical Center,Pocahontas,44,"1,012","1,550","$44,239"
Forrest City Medical Center,Forrest City,70,"2,017","6,640","$187,827"
Great River Medical Center,Blytheville,33,"1,423","4,442","$72,252"
Helena Regional Medical Center,Helena,127,"1,540","4,791","$138,975"
Jefferson Regional Medical Center,Pine Bluff,316,"8,873","44,226","$881,501"
John L. McClellan Memorial Veterans Hospital,Little Rock,0,0,0,$0
Johnson Regional Medical Center,Clarksville,89,"1,873","4,933","$82,018"
Levi Hospital,Hot Springs National Park,53,1,1,"$8,880"
Magnolia Regional Medical Center,Magnolia,30,"1,285","4,054","$47,745"
Medical Center of South Arkansas,El Dorado,131,"3,366","12,823","$445,966"
Mena Regional Health System,Mena,65,"1,174","4,712","$75,542"
Mercy Hospital Fort Smith,Fort Smith,385,"15,656","69,507","$1,087,456"
Mercy Hospital Northwest Arkansas,Rogers,206,"12,636","43,112","$1,102,729"
Mercy Orthopedic Hospital Fort Smith,Fort Smith,0,0,0,$0
National Park Medical Center,Hot Springs,163,"5,760","29,551","$1,011,354"
NEA Baptist Memorial Hospital,Jonesboro,204,"10,705","47,204","$877,753"
North Arkansas Regional Medical Center,Harrison,134,"3,091","9,382","$264,338"
Northwest Medical Center - Bentonville,Bentonville,121,"5,192","22,923","$238,959"
Northwest Medical Center - Springdale,Springdale,300,"11,582","57,735","$1,987,301"
Ouachita County Medical Center,Camden,82,"1,622","5,154","$101,360"
Saint Mary's Regional Health System,Russellville,157,"5,356","23,319","$726,338"
Saline Memorial Hospital,Benton,161,"5,394","18,862","$371,006"
Siloam Springs Regional Hospital,Siloam Springs,44,"1,733","4,830","$188,578"
St. Bernards Medical Center,Jonesboro,353,"16,929","81,760","$972,684"
Unity Health White County Medical Center,Searcy,272,"11,605","50,891","$746,788"
University of Arkansas for Medical Sciences (UAMS) Medical Center,Little Rock,505,"28,215","152,000","$2,443,548"
Veterans Health Care System of the Ozarks,Fayetteville,0,0,0,$0
Wadley Regional Medical Center at Hope,Hope,79,824,"3,116","$69,513"
Washington Regional Medical Center,Fayetteville,320,"16,340","70,156","$1,463,611"
White River Medical Center,Batesville,221,"7,611","30,581","$578,523"
Willow Creek Women's Hospital,Johnson,30,"3,357","11,571","$38,243"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Abrazo Arizona Heart Hospital,Phoenix,0,0,0,$0
Abrazo Arrowhead Hospital,Glendale,262,"15,927","63,445","$2,539,675"
Abrazo Central Campus,Phoenix,160,"7,687","32,962","$1,078,116"
Abrazo Mesa Hospital,Mesa,0,0,0,$0
Abrazo Scottsdale Campus,Phoenix,127,"5,521","21,159","$684,059"
Abrazo West Campus,Goodyear,179,"12,134","51,137","$1,862,460"
Arizona Specialty Hospital,Chandler,24,980,"2,013","$154,379"
Arizona Spine and Joint Hospital,Mesa,23,"1,460","2,064","$191,416"
Banner - University Medical Center Tucson,Tucson,479,"20,951","127,160","$3,062,136"
Banner - University Medical Center Phoenix,Phoenix,712,"30,170","173,066","$3,899,425"
Banner - University Medical Center South Campus,Tucson,150,"7,383","34,017","$687,601"
Banner Baywood Medical Center,Mesa,340,"14,601","68,249","$1,615,139"
Banner Boswell Medical Center,Sun City,525,"13,678","63,622","$1,716,033"
Banner Casa Grande Medical Center,Casa Grande,141,"6,087","22,609","$784,407"
Banner Del E. Webb Medical Center,Sun City West,394,"15,239","64,208","$1,822,721"
Banner Desert Medical Center,Mesa,615,"37,223","166,017","$3,496,179"
Banner Estrella Medical Center,Phoenix,317,"18,088","77,742","$1,963,852"
Banner Gateway Medical Center,Gilbert,165,"13,162","57,196","$1,995,692"
Banner Goldfield Medical Center,Apache Junction,20,772,"2,062","$138,637"
Banner Heart Hospital,Mesa,111,"4,708","19,807","$907,977"
Banner Ironwood Medical Center,Queen Creek,53,"3,361","11,561","$455,939"
Banner Thunderbird Medical Center,Glendale,555,"27,882","118,529","$2,626,070"
Cancer Treatment Centers of America - Western Regional Medical Center,Goodyear,0,0,0,$0
Canyon Vista Medical Center,Sierra Vista,94,"4,879","14,471","$466,773"
Carondelet Heart & Vascular Institute,Tucson,60,"1,162","4,175","$128,262"
Chandler Regional Medical Center,Chandler,338,"21,409","103,310","$3,371,223"
Chinle Comprehensive Health Care Facility,Chinle,60,"1,534","4,737",$0
Dignity Health Arizona General Hospital Laveen,Laveen,16,417,"1,095","$643,107"
Dignity Health Arizona General Hospital Mesa,Mesa,0,0,0,$0
Flagstaff Medical Center,Flagstaff,264,"12,442","54,432","$1,269,899"
Florence Hospital,Florence,0,0,0,$0
Havasu Regional Medical Center,Lake Havasu City,163,"6,356","25,683","$1,090,078"
HonorHealth Deer Valley Medical Center,Phoenix,204,"11,940","53,172","$1,934,985"
HonorHealth John C. Lincoln Medical Center,Phoenix,262,"11,618","56,331","$2,319,078"
HonorHealth Scottsdale Osborn Medical Center,Scottsdale,341,"12,857","57,457","$2,068,268"
HonorHealth Scottsdale Shea Medical Center,Scottsdale,427,"15,336","89,916","$2,802,159"
HonorHealth Scottsdale Thompson Peak Medical Center,Scottsdale,120,"6,799","23,016","$887,060"
Kingman Regional Medical Center,Kingman,214,"7,254","39,611","$1,491,980"
Mayo Clinic Hospital,Phoenix,273,"16,363","75,387","$2,936,090"
Mercy Gilbert Medical Center,Gilbert,198,"15,178","60,125","$1,831,378"
Mount Graham Regional Medical Center,Safford,49,"1,806","4,592","$141,694"
Mountain Vista Medical Center,Mesa,162,"6,418","26,359","$867,362"
Northern Arizona VA Health Care System,Prescott,0,0,0,$0
Northwest Medical Center,Tucson,294,"13,913","50,730","$2,282,648"
OASIS Hospital,Phoenix,64,"4,171","8,383","$251,634"
Oro Valley Hospital,Tucson,146,"4,871","15,311","$850,427"
Phoenix Indian Medical Center,Phoenix,133,"2,428","7,608",$0
Phoenix VA Health Care System,Phoenix,0,0,0,$0
Saint Joseph's Hospital,Tucson,486,"14,862","60,527","$1,700,866"
Saint Joseph's Hospital and Medical Center,Phoenix,512,"35,453","151,686","$4,319,769"
Saint Joseph's Westgate Medical Center,Glendale,0,0,0,$0
Saint Mary's Hospital,Tucson,400,"10,227","44,324","$1,430,774"
San Carlos Apache Healthcare,Peridot,8,338,"1,171",$0
Santa Cruz Valley Regional Hospital,Green Valley,49,"1,421","4,488","$88,756"
Sells Indian Hospital,Sells,14,262,981,$0
Southern Arizona VA Health Care System,Tucson,0,0,0,$0
Summit Healthcare Regional Medical Center,Show Low,89,"4,674","15,854","$660,333"
Tempe Saint Luke's Hospital,Tempe,65,"3,320","10,215","$153,689"
The CORE Institute Specialty Hospital,Phoenix,32,"2,147","2,481","$146,632"
Tsehootsooi Medical Center,Fort Defiance,56,"2,555","9,583",$0
Tuba City Indian Medical Center,Tuba City,73,"2,226","10,542",$0
Tucson Medical Center,Tucson,457,"33,653","146,087","$2,230,909"
Valley View Medical Center,Fort Mohave,84,"2,147","7,439","$443,397"
Valleywise Behavioral Health Center-Maryvale,Phoenix,228,"3,640","15,153","$337,726"
Valleywise Health Medical Center,Phoenix,564,"12,478","53,922","$2,075,759"
Verde Valley Medical Center,Cottonwood,98,"4,581","17,025","$613,417"
Verde Valley Medical Center-Sedona Campus,Sedona,0,0,0,$0
Western Arizona Regional Medical Center,Bullhead City,139,"4,453","18,253","$1,093,752"
Whiteriver Indian Hospital,Whiteriver,40,973,"3,767",$0
Yavapai Regional Medical Center - East,Prescott Valley,56,"4,182","14,511","$374,590"
Yavapai Regional Medical Center - West,Prescott,206,"11,528","41,763","$1,268,151"
Yuma Regional Medical Center,Yuma,406,"16,155","66,362","$1,925,123"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Adventist Health Simi Valley,Simi Valley,144,"6,574","26,847","$666,423"
Adventist Ukiah Valley,Ukiah,50,"3,451","12,747","$529,977"
Downey Medical Center,Downey,352,"15,856","70,158","$2,411,332"
MarinHealth Medical Center,Greenbrae,235,"9,248","39,395","$2,216,874"
Providence Saint John's Health Center,Santa Monica,266,"12,400","57,959","$1,259,366"
Woodland Hills Medical Center,Woodland Hills,252,"8,564","33,082","$1,304,544"
60th Medical Group - David Grant USAF Medical Center,Travis Air Force Base,0,0,0,$0
Adventist Health and Rideout,Marysville,209,"11,677","56,930","$1,452,858"
Adventist Health Bakersfield,Bakersfield,254,"17,389","67,655","$2,036,693"
Adventist Health Glendale,Glendale,451,"17,633","78,905","$2,544,517"
Adventist Health Hanford,Hanford,230,"9,455","47,221","$1,143,207"
Adventist Health Lodi Memorial,Lodi,190,"8,990","34,259","$1,456,557"
Adventist Health Reedley,Reedley,49,"1,838","6,199","$301,523"
Adventist Health Saint Helena,Saint Helena,130,"3,690","22,828","$1,127,609"
Adventist Health Selma,Selma,0,0,0,$0
Adventist Health Sonora,Sonora,152,"4,158","14,686","$996,958"
Adventist Health Tulare,Tulare,108,688,"3,359","$105,590"
Adventist Health Vallejo,Vallejo,0,0,0,$0
Adventist Health White Memorial,Los Angeles,353,"18,937","82,082","$2,393,499"
AHMC Anaheim Regional Medical Center,Anaheim,223,"10,240","46,132","$1,412,018"
Alameda Hospital,Alameda,215,"2,408","12,134","$402,813"
Alhambra Hospital Medical Center,Alhambra,144,"4,792","20,061","$553,245"
Alta Bates Summit Medical Center,Oakland,354,"11,595","52,305","$1,693,389"
Alta Bates Summit Medical Center Herrick Campus,Berkeley,0,0,0,$0
Alta Bates Summit Medical Center Alta Bates Campus,Berkeley,401,"9,352","65,087","$1,818,558"
Alvarado Hospital Medical Center,San Diego,304,"4,832","23,507","$532,834"
Anaheim Global Medical Center,Anaheim,183,"2,682","19,959","$295,471"
Anaheim Medical Center,Anaheim,484,"24,383","98,691","$2,777,703"
Antelope Valley Hospital,Lancaster,393,"19,155","86,522","$1,823,103"
Antioch Medical Center,Antioch,138,"7,326","25,035","$939,186"
Arrowhead Regional Medical Center,Colton,456,"19,145","99,359","$1,642,821"
Arroyo Grande Community Hospital,Arroyo Grande,67,"4,298","14,331","$542,368"
Bakersfield Heart Hospital,Bakersfield,47,"3,098","12,512","$443,526"
Bakersfield Memorial Hospital,Bakersfield,421,"17,245","71,705","$2,051,484"
Baldwin Park Medical Center,Baldwin Park,257,"11,026","41,403","$1,847,528"
Barstow Community Hospital,Barstow,30,"2,099","6,860","$469,359"
Barton Memorial Hospital,South Lake Tahoe,111,"2,322","7,196","$452,204"
Beverly Hospital,Montebello,224,"10,290","39,617","$430,834"
California Hospital Medical Center,Los Angeles,318,"18,047","77,124","$1,477,782"
California Mens Colony Hospital,San Luis Obispo,0,0,0,$0
Casa Colina Hospital and Centers for Healthcare,Pomona,99,"1,195","4,371","$219,339"
Cedars-Sinai Medical Center,Los Angeles,880,"56,087","272,413","$16,647,906"
Centinela Hospital Medical Center,Inglewood,345,"15,776","62,436","$1,184,803"
CHA Hollywood Presbyterian Medical Center,Los Angeles,434,"12,157","57,819","$933,245"
Chapman Global Medical Center,Orange,114,"1,951","5,705","$203,683"
Chinese Hospital,San Francisco,65,"1,188","5,357","$174,600"
Chino Valley Medical Center,Chino,112,"5,235","15,076","$367,010"
City of Hope Comprehensive Cancer Center,Duarte,217,"6,595","73,030","$3,850,813"
Clovis Community Medical Center,Clovis,208,"15,196","70,096","$1,521,612"
Coast Plaza Hospital,Norwalk,117,"2,401","10,857","$241,144"
College Hospital Costa Mesa,Costa Mesa,122,"4,001","40,694","$103,658"
College Medical Center,Long Beach,221,"8,949","63,677","$278,370"
Colusa Medical Center,Colusa,48,930,"3,349","$44,455"
Community Hospital of Huntington Park,Huntington Park,81,"3,385","13,865","$380,344"
Community Hospital of San Bernardino,San Bernardino,347,"7,284","32,372","$1,158,147"
Community Hospital of the Monterey Peninsula,Monterey,286,"10,600","53,689","$1,843,628"
Community Memorial Hospital,Ventura,201,"11,698","50,701","$1,421,945"
Community Regional Medical Center,Fresno,887,"38,619","227,803","$4,808,260"
Concord Medical Center,Concord,244,"11,397","53,393","$3,091,763"
Contra Costa Regional Medical Center,Martinez,147,"6,412","42,614","$815,755"
Corona Regional Medical Center,Corona,238,"7,314","30,686","$979,800"
CPMC Davies Campus,San Francisco,223,"3,123","15,735","$686,866"
CPMC Mission Bernal Campus,San Francisco,120,"3,348","16,566","$414,786"
CPMC Van Ness Campus,San Francisco,0,0,0,$0
Dameron Hospital,Stockton,170,"3,523","13,298","$969,432"
Delano Regional Medical Center,Delano,107,"2,370","8,658","$194,164"
