Name,Address,Long,Lat,Num Beds
Sentara Leigh Hospital,,,,247
Sentara Martha Jefferson Hospital,"500 Martha Jefferson Dr, Charlottesville, VA 22911",,,150
Sentara Norfolk General Hospital,"600 Gresham Dr, Norfolk, VA 23507",-76.30430410438805,36.8616399,527
Sentara Northern Virginia Medical Center,"2300 Opitz Blvd, Woodbridge, VA 22191",-77.28604300007024,38.637085549999995,147
Sentara Obici Hospital,"2800 Godwin Blvd, Suffolk, VA 23434",-76.58098726772738,36.77324385,175
Sentara Princess Anne Hospital,"2025 Glenn Mitchell Dr, Virginia Beach, VA 23456",-76.09768724157303,36.7762186,174
Sentara RMH Medical Center,"2010 Health Campus Dr, Harrisonburg, VA 22801",-78.85597564728357,38.40516905,238
Sentara Virginia Beach General Hospital,"1060 First Colonial Road, Virginia Beach, VA 23454",-76.02625151586022,36.864964,259
Sentara Williamsburg Regional Medical Center,"100 Sentara Cir, Williamsburg, VA 23188",,,145
Smyth County Community Hospital,"245 Medical Park Dr, Marion, VA 24354",-81.48863717225183,36.8513787,153
Southampton Memorial Hospital,"100 Fairview Dr, Franklin, VA 23851",-76.93724901078303,36.69194485,204
Southern Virginia Regional Medical Center,"727 N Main St, Emporia, VA 23847",-77.53764257006387,36.70169405,80
Southside Regional Medical Center,"430 Clairmont Ct #200, Colonial Heights, VA 23834",,,300
SOVAH Health Danville,"142 S Main St, Danville, VA 24541",-79.4050444657006,36.57750145,342
SOVAH Health Martinsville,"320 Hospital Dr, Martinsville, VA 24112",-79.86713087371484,36.69913895,220
Spotsylvania Regional Medical Center,"4600 Spotsylvania Pkwy, Fredericksburg, VA 22408",,,133
Stafford Hospital,"101 Hospital Center Blvd, Stafford, VA 22554",-77.40704638874043,38.41563305,90
StoneSprings Hospital Center,"24440 Stone Springs Blvd, Dulles, VA 20166",,,124
Twin County Regional Hospital,"200 Hospital Dr, Galax, VA 24333",-80.92406191841765,36.670858499999994,141
University Hospital,,,,612
VCU Medical Center,"57 N 11th St, Richmond, VA 23298",-77.432007,37.5398449,781
Virginia Hospital Center,"1701 N George Mason Dr, Arlington, VA 22205",-77.1282836,38.8895407,365
Warren Memorial Hospital,"1000 N Shenandoah Ave, Front Royal, VA 22630",-78.19769232885338,38.93103395,166
Winchester Medical Center,"1840 Amherst St, Winchester, VA 22601",-78.18943473110079,39.19627145,455
Wythe County Community Hospital,"600 W Ridge Rd, Wytheville, VA 24382",-81.09693440369114,36.9546656,100
Alaska Native Medical Center,"4315 Diplomacy Dr, Anchorage, AK 99508",-149.80017722898032,61.18277225,174
Alaska Regional Hospital,"2801 Debarr Road, Anchorage, AK 99508",-149.8286313242076,61.21045645,174
Bartlett Regional Hospital,"3260 Hospital Dr, Juneau, AK 99801",-134.46498295128208,58.329258949999996,57
Central Peninsula General Hospital,"250 Hospital Pl, Soldotna, AK 99669",-151.07850281621722,60.49352565,109
Foundation Health Partners Fairbanks Memorial Hospital,"1650 Cowles St, Fairbanks, AK 99701",-147.7402732108773,64.83173225,212
JBER Elmendorf Air Force Base Hospital,"5955 Zeamer Ave, Elmendorf AFB, AK 99506",,,0
Mat-Su Regional Medical Center,"2500 S Woodworth Loop, Palmer, AK 99645",,,74
Providence Alaska Medical Center,"3200 Providence Dr, Anchorage, AK 99508",-149.82059674184666,61.18841865,401
The Children's Hospital at Providence,"3200 Providence Dr, Anchorage, AK 99508",-149.82059674184666,61.18841865,0
Yukon-Kuskokwim Delta Regional Hospital,"700 Chief Eddie Hoffman Hwy, Bethel, AK 99559",-161.783411,60.787885,34
Floyd Cherokee Medical Center,,,,45
RMC Stringfellow Memorial Hospital,"301 E 18th St, Anniston, AL 36207",-85.82380499027312,33.668161,125
Andalusia Health,"849 S 3 Notch St, Andalusia, AL 36420",,,83
Athens-Limestone Hospital,"700 Market St W, Athens, AL 35611",-86.97892590138623,34.8041483,66
Atmore Community Hospital,"401 Medical Park Dr, Atmore, AL 36502",-87.47857661925876,31.01701705,49
Baptist Medical Center East,"400 Taylor Rd, Montgomery, AL 36117",-86.17603444768903,32.38793087577623,207
Baptist Medical Center South,,,,380
Bibb Medical Center,"208 Pierson Ave #2918, Centreville, AL 35042",,,156
Birmingham VA Medical Center,"700 19th St S, Birmingham, AL 35233",-86.801278,33.505197,0
Brookwood Baptist Medical Center,"2010 Brookwood Medical Center Dr, Birmingham, AL 35209",,,595
Bryan W. Whitfield Memorial Hospital,"105 US-80, Demopolis, AL 36732",-87.77411706053113,32.496313012582824,57
Bullock County Hospital,"102 W Conecuh Ave, Union Springs, AL 36089",-85.71357450093427,32.14623282498443,54
Central Alabama Veterans Health Care System - East Campus,"2400 Hospital Rd, Tuskegee, AL 36083",-85.71411400874784,32.44476015,0
Central Alabama Veterans Health Care System - West Campus,"2400 Hospital Rd, Tuskegee, AL 36083",-85.71411400874784,32.44476015,0
Citizens Baptist Medical Center,"604 Stone Ave, Talladega, AL 35160",-86.09073711271273,33.4404993,98
Clay County Hospital,,,,129
Community Hospital,,,,47
Coosa Valley Medical Center,"315 W Hickory St, Sylacauga, AL 35150",-86.25564905054785,33.1651887,222
Crenshaw Community Hospital,"101 Hospital Dr, Luverne, AL 36049",,,49
Crestwood Medical Center,"1 Hospital Drive Southwest, Huntsville, AL 35801",-86.5727493705092,34.694120999999996,183
Cullman Regional Medical Center,"1912 AL-157, Cullman, AL 35058",-86.80481386048591,34.2012534,145
D.W. McMillan Memorial Hospital,"1301 Belleville Ave, Brewton, AL 36426",-87.07360549235025,31.1267347,46
Dale Medical Center,,,,89
DCH Regional Medical Center,"809 University Blvd E, Tuscaloosa, AL 35401",-87.52753681434177,33.204164,593
Decatur Morgan Hospital,"1201 7th St SE, Decatur, AL 35601",-86.97139352672316,34.59085815,264
Decatur Morgan Hospital-Parkway Campus,"1874 Beltline Rd SW, Decatur, AL 35603",-87.01596161187197,34.57668685,120
DeKalb Regional Medical Center,"200 Medical Center Dr SW, Fort Payne, AL 35968",-85.75662959548669,34.4412404,115
East Alabama Medical Center,"2000 Pepperell Pkwy, Opelika, AL 36801",-85.40540268421053,32.63807215789474,515
East Alabama Medical Center - Lanier,"1806 44th St, Valley, AL 36854",-85.172747877247,32.82810929193443,187
Elmore Community Hospital,"500 Hospital Dr, Wetumpka, AL 36092",-86.18619537633549,32.5526513,33
Evergreen Medical Center,,,,44
Fayette Medical Center,,,,167
Flowers Hospital,,,,235
Gadsden Regional Medical Center,"1007 Goodyear Ave, Gadsden, AL 35903",-85.97001426883574,34.0093450804539,271
Grandview Medical Center,,,,402
Greene County Health System,,,,92
Grove Hill Memorial Hospital,"295 S Jackson St, Grove Hill, AL 36451",-87.77619543915391,31.69436245,30
Hale County Hospital,"508 Green St, Greensboro, AL 36744",,,28
Helen Keller Hospital,"1300 S Montgomery Ave, Sheffield, AL 35660",-87.70076056923517,34.746119,178
Highlands Medical Center,,,,218
Hill Hospital Of Sumter County,"751 Derby Dr, York, AL 36925",-88.29544296825202,32.4919402,33
Huntsville Hospital,,,,912
Jack Hughston Memorial Hospital,"4401 Riverchase Dr, Phenix City, AL 36867",,,47
Jackson Hospital,,,,270
Jackson Medical Center,"4764 U.S. 9, Howell Township, NJ 07731",,,35
John Paul Jones Hospital,"317 McWilliams Avenue, Camden, AL 36726",-87.30017061185626,31.99745625,21
Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",-85.74108716258237,32.8187446,46
Lakeland Community Hospital,"42024 AL-195, Haleyville, AL 35565",,,58
Lawrence Medical Center,,,,43
Madison Hospital,"8375 Hwy 72 W, Madison, AL 35758",,,0
Marshall Medical Center North,"8000 AL-69, Guntersville, AL 35976",-86.3152716,34.3536557,90
Marshall Medical Center South,"2505 US-431, Boaz, AL 35957",-86.16096018427928,34.221401650000004,204
Medical Center Barbour,"820 W Washington St, Eufaula, AL 36027",-85.15637324074541,31.88880275,47
Medical Center Enterprise,"400 N Edwards St, Enterprise, AL 36330",-85.85468880157622,31.318424999999998,99
Medical West,,,,231
Mizell Memorial Hospital,"702 N Main St, Opp, AL 36467",-86.25490030241093,31.2928787,59
Mobile Infirmary Medical Center,"5 Mobile Infirmary Cir, Mobile, AL 36607",-88.07939325749618,30.69599325,669
Monroe County Hospital,,,,49
North Alabama Medical Center,"1701 Veterans Dr, Florence, AL 35630",-87.65081425058077,34.80504285000001,233
North Baldwin Infirmary,"1815 Hand Ave, Bay Minette, AL 36507",-87.78495512441062,30.90380695,70
North Mississippi Medical Center - Hamilton,"1256 Military St S, Hamilton, AL 35570",-87.9908673187085,34.12608455,115
Northport Medical Center,,,,207
Northwest Medical Center,"6323 Georgia Ave NW # 212, Washington, DC 20011",,,71
Prattville Baptist Hospital,"124 S Memorial Dr, Prattville, AL 36067",-86.45235347708427,32.464044900000005,55
Princeton Baptist Medical Center,"701 Princeton Ave SW, Birmingham, AL 35211",-86.84793758297522,33.4974069,309
Providence Hospital,,,,349
Regional Medical Center of Central Alabama,"29 L V Stabler Dr, Greenville, AL 36037",,,57
Riverview Regional Medical Center,"600 S 3rd St, Gadsden, AL 35901",-86.00333987386892,34.004020749999995,281
RMC Anniston,"400 E 10th St, Anniston, AL 36207",-85.823759725,33.6553544,270
Russell Medical Center,"3316 US-280, Alexander City, AL 35010",-85.96937918050263,32.9297428,34
Russellville Hospital,"15155 US-43, Russellville, AL 35653",,,49
Saint Vincent's Birmingham,"810 St Vincents Dr, Birmingham, AL 35205",-86.78806756794808,33.507493249999996,400
Saint Vincent's Chilton,"2030 Lay Dam Rd, Clanton, AL 35045",-86.6214789882386,32.8724329,26
Saint Vincent's East,,,,349
Saint Vincent's Saint Clair,"7063 Veterans Pkwy, Pell City, AL 35125",-86.30130519925143,33.6044765,40
Shelby Baptist Medical Center,"1000 1st St N, Alabaster, AL 35007",-86.81296818785188,33.2526682,252
Shoals Hospital,"201 W Avalon Ave, Muscle Shoals, AL 35661",-87.6769365378488,34.74703315,184
South Baldwin Regional Medical Center,"1613 N McKenzie St, Foley, AL 36535",,,112
Southeast Health Medical Center,"1108 Ross Clark Cir, Dothan, AL 36301",-85.36343255478354,31.215827150000003,327
Springhill Medical Center,"3719 Dauphin St, Mobile, AL 36608",-88.13015691580881,30.6847189,209
Thomas Hospital,,,,141
Troy Regional Medical Center,"1330 US-231, Troy, AL 36081",-85.94534750911542,31.78167615,115
UAB Callahan Eye Hospital,"1720 University Blvd, Birmingham, AL 35233",-86.8023492,33.5033556,12
UAB Hospital,,,,1205
UAB Hospital Highlands,"1201 11th Ave S, Birmingham, AL 35205",-86.8062572716164,33.49481255,73
USA Health University Hospital,"2451 University Hospital Dr, Mobile, AL 36617",,,149
Vaughan Regional Medical Center,"1015 Medical Center Pkwy, Selma, AL 36701",-87.05590344058078,32.429399599999996,109
Walker Baptist Medical Center,"3400 Hwy 78 E, Jasper, AL 35501",,,259
Wiregrass Medical Center,"1200 W Maple Ave, Geneva, AL 36340",-85.89202133403035,31.0489116,185
Northwest Health Physicians' Specialty Hospital,"3873 Parkview Dr, Fayetteville, AR 72703",,,20
Unity Health - Harris Medical Center,"1205 McLain St, Newport, AR 72112",-91.26520820110434,35.608777950000004,121
Arkansas Continued Care Hospital of Jonesboro,"3024 Red Wolf Blvd, Jonesboro, AR 72401",-90.668045,35.834297,44
Arkansas Heart Hospital,"1701 S Shackleford Rd, Little Rock, AR 72211",-92.393248425,34.73932405,112
Arkansas Methodist Medical Center,"900 W Kingshighway, Paragould, AR 72450",,,129
Arkansas Surgical Hospital,"5201 Northshore Dr, North Little Rock, AR 72118",-92.34884839955069,34.8002061,49
Baptist Health - Little Rock,,,,734
Baptist Health - North Little Rock,"3333 Springhill Dr, North Little Rock, AR 72117",-92.22273388821685,34.78444895,205
Baptist Health - Stuttgart,,,,49
Baptist Health Medical Center Conway,"1555 Exchange Ave, Conway, AR 72032",-92.419364,35.0771032,110
Baptist Health Medical Center-Hot Spring County,"1001 Schneider Dr, Malvern, AR 72104",-92.78571755528573,34.358098049999995,64
Baptist Health-Fort Smith,"1001 Towson Ave, Fort Smith, AR 72901",-94.4209322,35.3840491,343
Baptist Health-Van Buren,,,,39
Baptist Memorial Hospital-Crittenden,"2100 N 7th St, West Memphis, AR 72301",-90.1758678,35.1536367,0
Baxter Regional Medical Center,,,,212
Chambers Memorial Hospital,"719 Detroit St, Danville, AR 72833",-93.38813233157279,35.0547224,42
CHI St. Vincent Hot Springs,"300 Werner St, Hot Springs, AR 71913",-93.06722507102515,34.467362699999995,229
CHI St. Vincent Infirmary,"2 St Vincent Cir, Little Rock, AR 72205",-92.33870743565777,34.75040245,393
CHI St. Vincent North,"2215 Wildwood Ave, Sherwood, AR 72120",-92.20837420064066,34.8134189,59
Conway Regional Medical Center,"2302 College Ave, Conway, AR 72034",-92.45726561739828,35.08559395,150
Drew Memorial Hospital,"778 Scogin Dr, Monticello, AR 71655",-91.81668965089801,33.61062,49
Five Rivers Medical Center,,,,44
Forrest City Medical Center,"1601 New Castle Rd, Forrest City, AR 72335",-90.775137,35.034588,70
Great River Medical Center,"1221 S Gear Ave, West Burlington, IA 52655",,,33
Helena Regional Medical Center,"1801 Martin Luther King Jr Dr, Helena, AR 72342",-90.62710977187041,34.510228999999995,127
Jefferson Regional Medical Center,"565 Coal Valley Rd, Jefferson Hills, PA 15025",-79.93344824387502,40.3184899,316
John L. McClellan Memorial Veterans Hospital,"4300 W 7th St, Little Rock, AR 72205",-92.31989870836493,34.74498996534323,0
Johnson Regional Medical Center,"1100 E Poplar St, Clarksville, AR 72830",-93.44440436370567,35.46216645,89
Levi Hospital,"300 Prospect Ave, Hot Springs, AR 71901",-93.0571119,34.5100517,53
Magnolia Regional Medical Center,"101 Hospital Dr, Magnolia, AR 71753",-93.23902760693286,33.2741609,30
Medical Center of South Arkansas,"700 W Grove St, El Dorado, AR 71730",-92.67066676847321,33.22087775,131
Mena Regional Health System,"311 Morrow St N, Mena, AR 71953",,,65
Mercy Hospital Fort Smith,"7301 Rogers Ave, Fort Smith, AR 72903",-94.35358042549282,35.3557597,385
Mercy Hospital Northwest Arkansas,"2710 S Rife Medical Ln, Rogers, AR 72758",-94.18336046289184,36.308679049999995,206
Mercy Orthopedic Hospital Fort Smith,"3601 S 79th St, Fort Smith, AR 72903",-94.3450976,35.3481289,0
National Park Medical Center,"1910 Malvern Ave, Hot Springs, AR 71901",-93.03577989549905,34.4863603,163
NEA Baptist Memorial Hospital,"4800 E Johnson Ave, Jonesboro, AR 72401",-90.63716902101888,35.86593345,204
North Arkansas Regional Medical Center,"620 N Main St, Harrison, AR 72601",-93.10725648979593,36.23582318367347,134
Northwest Medical Center - Bentonville,"3000 Medical Center Pkwy, Bentonville, AR 72712",,,121
Northwest Medical Center - Springdale,"609 W Maple Ave, Springdale, AR 72764",-94.13741560036112,36.180622,300
Ouachita County Medical Center,"638 California Ave SW, Camden, AR 71701",-92.83684645566458,33.575701699999996,82
Saint Mary's Regional Health System,"1808 W Main St, Russellville, AR 72801",-93.14909972264508,35.28422475,157
Saline Memorial Hospital,"1 Medical Park Dr, Benton, AR 72015",-92.58602121888538,34.573669550000005,161
Siloam Springs Regional Hospital,"603 N Progress Ave, Siloam Springs, AR 72761",-94.50772670921572,36.1900317,44
St. Bernards Medical Center,"225 E Washington Ave, Jonesboro, AR 72401",-90.7023405073842,35.83669655,353
Unity Health White County Medical Center,"3214 E Race Ave, Searcy, AR 72143",-91.69660718602938,35.251945649999996,272
University of Arkansas for Medical Sciences (UAMS) Medical Center,"4301 W Markham St, Little Rock, AR 72205",-92.31988845744972,34.74824675,505
Veterans Health Care System of the Ozarks,"1500 Dodson Ave, Fort Smith, AR 72917",,,0
Wadley Regional Medical Center at Hope,"2001 S Main St, Hope, AR 71801",-93.58407907556622,33.648145400000004,79
Washington Regional Medical Center,"3215 N Northhills Blvd, Fayetteville, AR 72703",-94.1597641,36.1102363,320
White River Medical Center,"1710 Harrison St, Batesville, AR 72501",-91.63488520473206,35.767636800000005,221
Willow Creek Women's Hospital,"4301 Greathouse Springs Rd, Johnson, AR 72741",,,30
Abrazo Arizona Heart Hospital,"1930 E Thomas Rd, Phoenix, AZ 85016",-112.04014881987916,33.481441000000004,0
Abrazo Arrowhead Hospital,"18701 N 67th Ave, Glendale, AZ 85308",-112.20114624796793,33.6551568,262
Abrazo Central Campus,"2000 W Bethany Home Rd, Phoenix, AZ 85015",-112.10216139596028,33.52506635,160
Abrazo Mesa Hospital,"5750 E Baseline Rd, Mesa, AZ 85206",-111.6907745,33.3794077,0
Abrazo Scottsdale Campus,"3929 E Bell Rd, Phoenix, AZ 85032",-111.99750968785605,33.63939105,127
Abrazo West Campus,"13677 W McDowell Rd, Goodyear, AZ 85395",-112.35305153752995,33.46267065,179
Arizona Specialty Hospital,"2905 W Warner Rd Ste 1, Chandler, AZ 85224",,,24
Arizona Spine and Joint Hospital,"4620 E Baseline Rd, Mesa, AZ 85206",-111.6907745,33.3794077,23
Banner - University Medical Center Tucson,"1625 N Campbell Ave, Tucson, AZ 85719",-110.94409464220512,32.24197630633849,479
Banner - University Medical Center Phoenix,,,,712
Banner - University Medical Center South Campus,"2800 E Ajo Way, Tucson, AZ 85713",-110.93032276201352,32.17532285,150
Banner Baywood Medical Center,"6644 E Baywood Ave, Mesa, AZ 85206",-111.68910376481922,33.41132705,340
Banner Boswell Medical Center,"10401 W Thunderbird Blvd, Sun City, AZ 85351",-112.28377109543672,33.6026582,525
Banner Casa Grande Medical Center,"1800 E Florence Blvd, Casa Grande, AZ 85122",-111.70982761090613,32.88093395,141
Banner Del E. Webb Medical Center,"14502 W Meeker Blvd, Sun City West, AZ 85375",-112.37282369643022,33.65982925,394
Banner Desert Medical Center,"1400 S Dobson Rd, Mesa, AZ 85202",-111.8751261,33.3922846,615
Banner Estrella Medical Center,"9201 W Thomas Rd, Phoenix, AZ 85037",-112.2590168,33.4794619,317
Banner Gateway Medical Center,"1900 N Higley Rd, Gilbert, AZ 85234",-111.72296660105481,33.3850106,165
Banner Goldfield Medical Center,"2050 W Southern Ave, Apache Junction, AZ 85120",-111.5671824020053,33.394598849999994,20
Banner Heart Hospital,"6750 E Baywood Ave, Mesa, AZ 85206",-111.68552809669092,33.411304900000005,111
Banner Ironwood Medical Center,"37000 N Gantzel Rd, Queen Creek, AZ 85140",,,53
Banner Thunderbird Medical Center,"5555 W Thunderbird Rd, Glendale, AZ 85306",-112.17974287722922,33.6089475,555
Cancer Treatment Centers of America - Western Regional Medical Center,"14200 Celebrate Life Way, Goodyear, AZ 85338",-112.36443040018784,33.453982249999996,0
Canyon Vista Medical Center,"5700 AZ-90, Sierra Vista, AZ 85635",-110.23034804801233,31.55452031905708,94
Carondelet Heart & Vascular Institute,"b'1601 W St Mary\xe2\x80\x99s Rd, Tucson, AZ 85745'",-111.00017933488371,32.22744275,60
Chandler Regional Medical Center,"1955 W Frye Rd, Chandler, AZ 85224",-111.87408291378185,33.2967965,338
Chinle Comprehensive Health Care Facility,"U.S. 191 & Hospital Drive, Chinle, AZ 86503",,,60
Dignity Health Arizona General Hospital Laveen,"7171 S 51st Ave, Phoenix, AZ 85339",-112.16690185,33.3806926,16
Dignity Health Arizona General Hospital Mesa,,,,0
Flagstaff Medical Center,"1200 N Beaver St, Flagstaff, AZ 86001",-111.64402185590313,35.20878985,264
Florence Hospital,"4545 N Hunt Hwy, Florence, AZ 85132",,,0
Havasu Regional Medical Center,"101 Civic Center Ln, Lake Havasu City, AZ 86403",-114.33813392209615,34.48044445,163
HonorHealth Deer Valley Medical Center,"19829 N 27th Ave, Phoenix, AZ 85027",-112.11594646750765,33.66487025,204
HonorHealth John C. Lincoln Medical Center,"250 E Dunlap Ave, Phoenix, AZ 85020",-112.07065095818291,33.5693337,262
HonorHealth Scottsdale Osborn Medical Center,"7400 E Osborn Rd, Scottsdale, AZ 85251",-111.92298318765714,33.4885727,341
HonorHealth Scottsdale Shea Medical Center,"9003 E Shea Blvd, Scottsdale, AZ 85260",-111.88549543616014,33.58010525,427
HonorHealth Scottsdale Thompson Peak Medical Center,"7400 E Thompson Peak Pkwy, Scottsdale, AZ 85255",-111.8686261,33.671914,120
Kingman Regional Medical Center,"3269 Stockton Hill Rd, Kingman, AZ 86409",-114.03799747458334,35.2201076,214
Mayo Clinic Hospital,"September 30, 1889, Rochester",,,273
Mercy Gilbert Medical Center,"3555 S Val Vista Dr, Gilbert, AZ 85297",-111.75223701286444,33.2870882,198
Mount Graham Regional Medical Center,"1600 S 20th Ave, Safford, AZ 85546",-109.73542976079035,32.8225938,49
Mountain Vista Medical Center,"1301 S Crismon Rd, Mesa, AZ 85209",-111.61549857738095,33.39208261309523,162
Northern Arizona VA Health Care System,"500 AZ-89, Prescott, AZ 86301",-112.4361075,34.5734276,0
Northwest Medical Center,"6323 Georgia Ave NW # 212, Washington, DC 20011",,,294
OASIS Hospital,"750 N 40th St, Phoenix, AZ 85008",-111.9966344263043,33.456778850000006,64
Oro Valley Hospital,"1551 E Tangerine Rd, Oro Valley, AZ 85755",-110.94906748599385,32.429294600000006,146
Phoenix Indian Medical Center,"4212 N 16th St, Phoenix, AZ 85016",-112.0490907727991,33.49715495,133
Phoenix VA Health Care System,,,,0
Saint Joseph's Hospital,,,,486
Saint Joseph's Hospital and Medical Center,"350 W Thomas Rd, Phoenix, AZ 85013",-112.08005151512393,33.4822628,512
