NAME,ADDRESS,CITY,STATE,COUNTRY,ZIP,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,OWNER,BEDS
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,USA,93901,GENERAL ACUTE CARE,OPEN,269,MONTEREY,36.65903046,-121.6459838,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.svmh.com,GOVERNMENT - DISTRICT/AUTHORITY,269
ANAHEIM GENERAL HOSPITAL - BUENA PARK CAMPUS,5742 BEACH BOULEVARD,BUENA PARK,CA,USA,90621,GENERAL ACUTE CARE,CLOSED,42,ORANGE,33.87641867,-117.9978976,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Products/Listings.html,NOT AVAILABLE,PROPRIETARY,42
HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,USA,92680,GENERAL ACUTE CARE,OPEN,48,ORANGE,33.74746074,-117.8310556,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.tustinrehab.com,PROPRIETARY,48
KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,USA,92621,GENERAL ACUTE CARE,OPEN,86,ORANGE,33.93449589,-117.8939488,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kindredhospitalbrea.com/,PROPRIETARY,86
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,USA,92683,GENERAL ACUTE CARE,OPEN,109,ORANGE,33.76353321,-117.995256,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.khwestminster.com/,PROPRIETARY,109
KAWEAH DELTA  MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,USA,93277,GENERAL ACUTE CARE,OPEN,63,TULARE,36.32084395,-119.3482345,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaweahdelta.org,GOVERNMENT - DISTRICT/AUTHORITY,63
CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,USA,31537,GENERAL ACUTE CARE,CLOSED,-999,CHARLTON,30.84527535,-82.00505739,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://167.193.144.247/,http://www.southcoast.org/charlton/,GOVERNMENT - DISTRICT/AUTHORITY,-999
DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,USA,70563,GENERAL ACUTE CARE,OPEN,103,IBERIA,30.00690698,-91.79452385,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.dauterivehospital.com,PROPRIETARY,103
REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,USA,71222,GENERAL ACUTE CARE,OPEN,11,UNION,32.82399167,-92.65664868,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://reevesmemorial.com/,GOVERNMENT - DISTRICT/AUTHORITY,11
CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,USA,71418,GENERAL ACUTE CARE,OPEN,40,CALDWELL,32.06003995,-92.09913767,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,40
EAST LOUISIANA STATE HOSPITAL-GREENWELL SPRINGS,23260 GREENWELL SPRINGS RD,GREENWELL SPRINGS,LA,USA,70739,GENERAL ACUTE CARE,CLOSED,452,EAST BATON ROUGE,30.57753408,-90.99193874,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,GOVERNMENT - STATE,452
COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,USA,90806,GENERAL ACUTE CARE,OPEN,121,LOS ANGELES,33.80709287,-118.1933899,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.collegemedicalcenter.com,PROPRIETARY,121
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,USA,94577,GENERAL ACUTE CARE,OPEN,216,ALAMEDA,37.7064062,-122.1646545,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NOT AVAILABLE,216
TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,CA,USA,92592,GENERAL ACUTE CARE,OPEN,140,RIVERSIDE,33.48046447,-117.1059546,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,NOT AVAILABLE,NOT AVAILABLE,140
ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,USA,31419,GENERAL ACUTE CARE,OPEN,-999,CHATHAM,31.98543032,-81.15455637,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,NOT AVAILABLE,NON-PROFIT,294
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,USA,30286,GENERAL ACUTE CARE,OPEN,115,UPSON,32.8862977,-84.33650699,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,NOT AVAILABLE,NOT AVAILABLE,115
PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,USA,31719,GENERAL ACUTE CARE,OPEN,76,SUMTER,32.06696234,-84.2560502,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,http://www.phoebeputney.com/PhoebeContentPage.aspx?nd=1479,NOT AVAILABLE,76
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,USA,30265,GENERAL ACUTE CARE,OPEN,25,COWETA,33.38483465,-84.75774669,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,http://www.cancercenter.com/southeastern/,PROPRIETARY,25
MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA,310 W MAIN ST,SPARTA,WI,USA,54656,CRITICAL ACCESS,OPEN,25,MONROE,43.94422596,-90.81438359,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,NOT AVAILABLE,NOT AVAILABLE,25
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,USA,53226,GENERAL ACUTE CARE,OPEN,40,MILWAUKEE,43.03581215,-88.03726582,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,NOT AVAILABLE,NOT AVAILABLE,40
RIPON MEDICAL CENTER,845 PARKSIDE ST,RIPON,WI,USA,54971,CRITICAL ACCESS,OPEN,18,FOND DU LAC,43.83486875,-88.81800698,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,http://www.agnesian.com/locations/hospitals/ripon-medical-center,NOT AVAILABLE,18
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,USA,71301,GENERAL ACUTE CARE,OPEN,-999,RAPIDES,31.25219156,-92.48198781,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,NOT AVAILABLE,NOT AVAILABLE,-999
LAKE AREA MEDICAL CENTER,4200 NELSON ROAD,LAKE CHARLES,LA,USA,70605,GENERAL ACUTE CARE,OPEN,-999,CALCASIEU,30.18113208,-93.25034955,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.lakeareamc.com/Lake-Area-Medical-Center/home.aspx,NOT AVAILABLE,-999
SPECIALTY HOSPITAL,309 JACKSON STREET,MONROE,LA,USA,70505,GENERAL ACUTE CARE,OPEN,-999,OUACHITA,32.49982124,-92.11455423,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,NOT AVAILABLE,NOT AVAILABLE,-999
KAILO BEHAVIORAL HOSPITAL,3859 HWY 190,EUNICE,LA,USA,70535,GENERAL ACUTE CARE,CLOSED,-999,ACADIA,30.44805306,-92.41152478,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,NOT AVAILABLE,NOT AVAILABLE,-999
NEW ORLEANS EAST HOSPITAL,5620 READ BLVD,NEW ORLEANS,LA,USA,70127,GENERAL ACUTE CARE,OPEN,-999,ORLEANS,30.0289763,-89.97517048,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.noehospital.org/main/intro.php,NOT AVAILABLE,-999
OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,USA,70394,GENERAL ACUTE CARE,OPEN,38,LAFOURCHE,29.70267142,-90.5652539,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,https://www.ochsner.org/locations/ochsner-st-anne/,NOT AVAILABLE,38
OUR LADY OF THE ANGELS HOSPITAL,433 PLAZA STREET,BOGALUSA,LA,USA,70427,GENERAL ACUTE CARE,OPEN,-999,WASHINGTON,30.7782294,-89.86934105,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,NOT AVAILABLE,NOT AVAILABLE,-999
FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,USA,70748,GENERAL ACUTE CARE,OPEN,-999,EAST FELICIANA,30.83263569,-91.21066049,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,GOVERNMENT - STATE,-999
VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,USA,2908,GENERAL ACUTE CARE,OPEN,-999,PROVIDENCE,41.83213908,-71.43314954,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,http://www.providence.va.gov/,GOVERNMENT - FEDERAL,-999
EARL K LONG MEDICAL CENTER,5825 AIRLINE HWY,BATON ROUGE,LA,USA,70806,GENERAL ACUTE CARE,CLOSED,-999,EAST BATON ROUGE,30.5045784,-91.131365,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.lsuhospitals.org/EKL.aspx,NOT AVAILABLE,-999
KAISER ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,ONTARIO,CA,USA,91761,GENERAL ACUTE CARE,OPEN,176,SAN BERNARDINO,34.03207956,-117.6085993,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NON-PROFIT,176
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,LOMA LINDA,CA,USA,92354,GENERAL ACUTE CARE,OPEN,134,SAN BERNARDINO,34.04730564,-117.2516368,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.llumc.edu,NON-PROFIT,134
ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,CA,USA,92404,GENERAL ACUTE CARE,OPEN,342,SAN BERNARDINO,34.13467236,-117.27702,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.stbernardinemedicalcenter.com,NON-PROFIT,342
KAISER FND HOSP - SAN DIEGO,4647 ZION AVENUE,SAN DIEGO,CA,USA,92120,GENERAL ACUTE CARE,OPEN,414,SAN DIEGO,32.79156258,-117.0951595,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NON-PROFIT,414
SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,USA,92037,GENERAL ACUTE CARE,OPEN,173,SAN DIEGO,32.8968589,-117.2428711,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.scrippshealth.org,NON-PROFIT,173
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,USA,92024,GENERAL ACUTE CARE,OPEN,194,SAN DIEGO,33.03734478,-117.2841834,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.scripps.org,NON-PROFIT,194
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,USA,92103,GENERAL ACUTE CARE,OPEN,390,SAN DIEGO,32.75477023,-117.1657314,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,https://health.ucsd.edu/locations/Pages/hillcrest.aspx,NON-PROFIT,390
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,SAN FRANCISCO,CA,USA,94118,GENERAL ACUTE CARE,OPEN,299,SAN FRANCISCO,37.7865092,-122.4560306,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.cpmc.org,NON-PROFIT,299
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,SAN FRANCISCO,CA,USA,94115,GENERAL ACUTE CARE,OPEN,309,SAN FRANCISCO,37.79070454,-122.4312945,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.cpmc.org,NON-PROFIT,309
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,SAN FRANCISCO,CA,USA,94117,GENERAL ACUTE CARE,OPEN,403,SAN FRANCISCO,37.77408876,-122.4537516,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.stmarysmedicalcenter.org,NON-PROFIT,403
KAISER FND HOSP - SANTA ROSA,401 BICENTENNIAL WAY,SANTA ROSA,CA,USA,95403,GENERAL ACUTE CARE,OPEN,173,SONOMA,38.47179301,-122.7270644,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NON-PROFIT,173
KAISER FND HOSP - REHABILITATION CENTER VALLEJO,975 SERENO DRIVE,VALLEJO,CA,USA,94590,GENERAL ACUTE CARE,OPEN,248,SOLANO,38.12690208,-122.2483773,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NON-PROFIT,248
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,USA,95695,GENERAL ACUTE CARE,OPEN,108,YOLO,38.66392502,-121.7921452,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.woodlandhealthcare.org,NON-PROFIT,108
ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,3100 SUMMIT STREET,OAKLAND,CA,USA,94609,GENERAL ACUTE CARE,OPEN,75,ALAMEDA,37.82013961,-122.2640042,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.altabatessummit.com,NON-PROFIT,75
SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,CA,USA,94578,GENERAL ACUTE CARE,OPEN,93,ALAMEDA,37.71228835,-122.1434937,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://edenmedcenter.org,NON-PROFIT,93
ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,CA,USA,94545,GENERAL ACUTE CARE,OPEN,217,ALAMEDA,37.63344199,-122.0879125,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.srhca.org,NON-PROFIT,217
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,STOCKTON,CA,USA,95204,GENERAL ACUTE CARE,OPEN,364,SAN JOAQUIN,37.97046719,-121.2881828,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.stjosephscares.org,NON-PROFIT,364
FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,CA,USA,91741,GENERAL ACUTE CARE,OPEN,105,LOS ANGELES,34.13265458,-117.8712597,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.cvhp.org/Our_Facilities/Foothill_Presbyterian.aspx,NON-PROFIT,105
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,GLENDALE,CA,USA,91204,GENERAL ACUTE CARE,OPEN,334,LOS ANGELES,34.12816563,-118.2566432,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.glendalememorial.com,NON-PROFIT,334
KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,4867 SUNSET BOULEVARD,LOS ANGELES,CA,USA,90027,GENERAL ACUTE CARE,OPEN,460,LOS ANGELES,34.09857365,-118.2941753,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NON-PROFIT,460
KAISER PERMANENTE PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,CA,USA,91402,GENERAL ACUTE CARE,OPEN,218,LOS ANGELES,34.21856419,-118.4302193,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NON-PROFIT,218
PROVIDENCE LITTLE CO OF MARY SUBACUTE CARE CENTER,3620 WEST LOMITA BOULEVARD,TORRANCE,CA,USA,90505,GENERAL ACUTE CARE,CLOSED,200,LOS ANGELES,33.81404969,-118.3481476,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Products/Listings.html,http://california.providence.org/,NON-PROFIT,200
PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,USA,91356,GENERAL ACUTE CARE,OPEN,249,LOS ANGELES,34.17039322,-118.5319041,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://california.providence.org/,NON-PROFIT,249
SHRINERS HOSPITAL FOR  CHILDREN - L.A.,3160 GENEVA STREET,LOS ANGELES,CA,USA,90020,GENERAL ACUTE CARE,OPEN,60,LOS ANGELES,34.06720478,-118.2863921,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.shrinershospitalsforchildren.org/Hospitals/Locations/Losa ngeles.aspx,NON-PROFIT,60
TEMPLE COMMUNITY HOSPITAL,235 NORTH HOOVER STREET,LOS ANGELES,CA,USA,90004,GENERAL ACUTE CARE,CLOSED,730,LOS ANGELES,34.07565395,-118.2840344,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Products/Listings.html,http://tuh.templehealth.org/content/default.htm,NON-PROFIT,730
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,CA,USA,90716,GENERAL ACUTE CARE,OPEN,107,LOS ANGELES,33.83364001,-118.079678,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.tcrmc.org/,NON-PROFIT,107
ST. HELENA HOSPITAL - CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,USA,95422,GENERAL ACUTE CARE,OPEN,32,LAKE,38.93561886,-122.6201445,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.adventisthealth.org,NON-PROFIT,32
EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,USA,92270,GENERAL ACUTE CARE,OPEN,489,RIVERSIDE,33.76335207,-116.4062411,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.emc.org,NON-PROFIT,489
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,SAN JOSE,CA,USA,95124,GENERAL ACUTE CARE,OPEN,404,SANTA CLARA,37.25207874,-121.9465769,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.goodsamsanjose.com,NON-PROFIT,404
KAISER FND HOSP - SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,USA,95051,GENERAL ACUTE CARE,OPEN,327,SANTA CLARA,37.33540138,-121.998873,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NON-PROFIT,327
LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,725 WELCH ROAD,PALO ALTO,CA,USA,94304,GENERAL ACUTE CARE,OPEN,302,SANTA CLARA,37.43600458,-122.17539,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.lpch.org,NON-PROFIT,302
KAISER FND HOSP - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,USA,94063,GENERAL ACUTE CARE,OPEN,149,SAN MATEO,37.48884784,-122.2233901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.kaiserpermanente.org,NON-PROFIT,149
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,CONCORD,CA,USA,94520,GENERAL ACUTE CARE,OPEN,245,CONTRA COSTA,37.98308958,-122.0334968,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.johnmuirhealth.com,NON-PROFIT,245
